"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX","TMIN","WT01","WT02","WT03","WT08"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-06-19","5.37","0.00",,"100","69",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-06-20","5.14","0.00",,"98","73",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-06-21","5.82","0.00",,"104","69",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-06-22","9.17","0.00",,"101","73",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-06-23","6.93","0.00",,"101","68",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-06-24","5.59","0.00",,"103","75",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-06-25","6.93","0.00",,"100","74",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-06-26","5.59","0.00",,"99","74",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-06-27","5.37","0.00",,"100","74",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-06-28","5.37","0.00",,"102","75",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-06-29","5.37","0.00",,"102","76",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-06-30","5.59","0.00",,"103","72",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-01","4.47","0.00",,"103","74",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-02","4.25","0.00",,"100","81",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-03","4.47","0.00",,"98","73",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-04","3.36","0.00",,"93","74",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-05","5.59","0.03",,"94","71",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-06","4.70","0.00",,"96","70",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-07","4.92","0.00",,"100","73",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-08","5.59","0.00",,"98","77",,,,"    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-09","5.14","0.00",,"102","76",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-10","5.14","0.00",,"103","76",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-11","7.16","0.00",,"104","79",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-12","7.38","0.00",,"101","80",,,"    1","    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-13","4.92","0.00",,"98","76",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-14","3.80","0.08",,"82","69",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-15","5.37","0.44",,"91","66",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-16","4.47","0.00",,"89","67",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-17","3.13","0.00",,"94","66",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-18","3.80","0.00",,"98","70",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-19","5.14","0.00",,"96","74",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-20","5.59","0.00",,"97","76",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-21","5.59","0.19",,"98","75",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-22","4.70","0.00",,"99","71",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-23","5.37","0.14",,"96","74",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-24","5.14","0.04",,"90","70",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-25","3.58","0.00",,"97","73",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-26","3.58","0.00",,"103","74",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-27","4.92","0.10",,"93","76",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-28","6.04","0.00",,"96","72",,,"    1","    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-07-29","4.70","0.00",,"92","74",,,,
